sort_algo,input_size,num_comparisons
select,1,0
select,1,0
select,1,0
bubble,1,0
bubble,1,0
bubble,1,0
insert,1,0
insert,1,0
insert,1,0
merge,1,0
merge,1,0
merge,1,0
quick,1,0
quick,1,0
quick,1,0
select,2,1
select,2,1
select,2,1
bubble,2,1
bubble,2,1
bubble,2,1
insert,2,1
insert,2,1
insert,2,1
merge,2,1
merge,2,1
merge,2,1
quick,2,1
quick,2,1
quick,2,1
select,4,6
select,4,6
select,4,6
bubble,4,6
bubble,4,3
bubble,4,6
insert,4,5
insert,4,3
insert,4,6
merge,4,4
merge,4,4
merge,4,4
quick,4,4
quick,4,6
quick,4,6
select,8,28
select,8,28
select,8,28
bubble,8,28
bubble,8,7
bubble,8,28
insert,8,14
insert,8,7
insert,8,28
merge,8,15
merge,8,12
merge,8,12
quick,8,22
quick,8,28
quick,8,28
select,16,120
select,16,120
select,16,120
bubble,16,110
bubble,16,15
bubble,16,120
insert,16,43
insert,16,15
insert,16,120
merge,16,45
merge,16,32
merge,16,32
quick,16,57
quick,16,120
quick,16,120
select,32,496
select,32,496
select,32,496
bubble,32,490
bubble,32,31
bubble,32,496
insert,32,336
insert,32,31
insert,32,496
merge,32,120
merge,32,80
merge,32,80
quick,32,165
quick,32,496
quick,32,496
select,64,2016
select,64,2016
select,64,2016
bubble,64,1980
bubble,64,63
bubble,64,2016
insert,64,851
insert,64,63
insert,64,2016
merge,64,306
merge,64,192
merge,64,192
quick,64,331
quick,64,2016
quick,64,2016
select,128,8128
select,128,8128
select,128,8128
bubble,128,8118
bubble,128,127
bubble,128,8128
insert,128,4243
insert,128,127
insert,128,8128
merge,128,735
merge,128,448
merge,128,448
quick,128,876
quick,128,8128
quick,128,8128
select,256,32640
select,256,32640
select,256,32640
bubble,256,31415
bubble,256,255
bubble,256,32640
insert,256,15363
insert,256,255
insert,256,32640
merge,256,1717
merge,256,1024
merge,256,1024
quick,256,1937
quick,256,32640
quick,256,32640
select,512,130816
select,512,130816
select,512,130816
bubble,512,130320
bubble,512,511
bubble,512,130816
insert,512,71500
insert,512,511
insert,512,130815
merge,512,3964
merge,512,2304
merge,512,2304
quick,512,5030
quick,512,130574
quick,512,130816
select,1024,523776
select,1024,523776
select,1024,523776
bubble,1024,523623
bubble,1024,1023
bubble,1024,523776
insert,1024,258106
insert,1024,1023
insert,1024,523767
merge,1024,8910
merge,1024,5120
merge,1024,5124
quick,1024,12449
quick,1024,519108
quick,1024,521343
select,2048,2096128
select,2048,2096128
select,2048,2096128
bubble,2048,2095957
bubble,2048,2047
bubble,2048,2096128
insert,2048,1067058
insert,2048,2047
insert,2048,2096090
merge,2048,19917
merge,2048,11264
merge,2048,11283
quick,2048,25457
quick,2048,2056553
quick,2048,2073413
select,4096,8386560
select,4096,8386560
select,4096,8386560
bubble,4096,8380889
bubble,4096,4095
bubble,4096,8386560
insert,4096,4218003
insert,4096,4095
insert,4096,8386436
merge,4096,43974
merge,4096,24576
merge,4096,24640
quick,4096,56933
quick,4096,8133407
quick,4096,8258562
select,8192,33550336
select,8192,33550336
select,8192,33550336
bubble,8192,33537456
bubble,8192,8191
bubble,8192,33550336
insert,8192,16655915
insert,8192,8191
insert,8192,33549842
merge,8192,96095
merge,8192,53248
merge,8192,53497
quick,8192,124535
quick,8192,31570489
quick,8192,32496993
select,16384,134209536
select,16384,134209536
select,16384,134209536
bubble,16384,134201280
bubble,16384,16383
bubble,16384,134209536
insert,16384,66891097
insert,16384,16383
insert,16384,134207498
merge,16384,208741
merge,16384,114688
merge,16384,115676
quick,16384,267749
quick,16384,118751602
quick,16384,126043781
select,32768,536854528
select,32768,536854528
select,32768,536854528
bubble,32768,536842900
bubble,32768,32767
bubble,32768,536854528
insert,32768,268134488
insert,32768,32767
insert,32768,536846422
merge,32768,450046
merge,32768,245760
merge,32768,249425
quick,32768,587806
quick,32768,423764148
quick,32768,474349494
select,65536,2147450880
bubble,65536,2147347140
insert,65536,1069158306
merge,65536,965698
quick,65536,1223349
select,65536,2147450880
bubble,65536,65535
insert,65536,65535
merge,65536,524288
quick,65536,1359002592

